datlifeuid,taxakingdom,taxaphylum,taxaclass,taxaorder,taxafamily,taxagenus,taxaspecies,taxainfraspecies,taxabreed,referenceid,derived_from_graph,age_mortality_pdf_id,age_mortality_id,n,n_recaptures,title,list_cohort_period,list_mortality_type,list_source_column,list_type_x,list_sex,list_liberty,population,yearstart,yearend,Comment,embargodate,page,name,column,author_ge_sp,list_stage_timezero,age_left_truncation,age_right_censoring,list_x_units
3794,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,savii,,,AReptile-Atkins-2007,,,1234,1,5,blalba,cohort,age last recorded,cap_Lx_real,age,both,both,,,,,,10,pippi lotta,12,,birth/hatch,5.000,4.000,
2693,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,,,ABird-Butler-1988,,ABird-Butler-1988.pdf,ABird-Butler-1988.csv,320,,Tree Swallow lifetable from band recoveries,cohort,ages at death,lx_stand,age_follow-up,both,wild,USA and Canada,1929,1984,,,398,TABLE 2.,Year / Number alive at start of year,Tachycineta bicolor,birth/hatch,,,
5151,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,okadai,,,AL00001_Takeuchi,,AL00001_TakeuchiAM01.pdf,AL00001_TakeuchiAM01.csv,8,,Cohort n females per instar in Caprella okadai,cohort,"age, follow-up",cap_Lx_real,age,female,captive,Heito; Japan,1987,1987,F1-generation in captivity; 20¡C; 14h light : 10h dark,,204,Table I,duration in days / instar / number of individuals,Caprella_okadai_NULL_NULL,birth/hatch,,,
5151,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,okadai,,,AL00001_Takeuchi,,AL00001_TakeuchiAM02.pdf,AL00001_TakeuchiAM02.csv,9,,Cohort n males per instar in Caprella okadai,cohort,"age, follow-up",lx_real,age,male,captive,Heito; Japan,1987,1987,F1-generation in captivity; 20¡C; 14h light : 10h dark,,204,Table I,duration in days / instar / number of individuals,Caprella_okadai_NULL_NULL,birth/hatch,,,
5155,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Parhyale,basrensis,,,AL00002_Ali,,AL00002_AliAM.pdf,AL00002_AliAM.csv,16000,,Life-table of Parhyale basrensis,cohort,"age, follow-up",lx_real,age from stage,na,wild,Shatt al-Arab River; Iraq,1983,1984,,,234,Table 1,age group / nx,Parhyale_basrensis,birth/hatch,,,
5148,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,danilevskii,,,AL00004_Takeuchi,,AL00004_TakeuchiAM01.pdf,AL00004_TakeuchiAM01.csv,8,,Cohort n females per instar in Caprella danilevskii,cohort,"age, follow-up",lx_real,age,female,captive,"Boso Peninsula, Japan",1987,1987,F1-generation in captivity;  20¡C; 14h light : 10h dark,,393,Table 2.,duration in days / instar / number of individuals,Caprella_danilevskii,birth/hatch,,,
5148,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,danilevskii,,,AL00004_Takeuchi,,AL00004_TakeuchiAM02.pdf,AL00004_TakeuchiAM02.csv,15,,Cohort n males per instar in Caprella danilevskii,cohort,"age, follow-up",lx_real,age,male,captive,"Boso Peninsula, Japan",1987,1987,F1-generation in captivity;  20¡C; 14h light : 10h dark,,393,Table 2.,duration in days / instar / number of individuals,Caprella_danilevskii,birth/hatch,,,
5149,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,grandimana,,,DL00351_Yashin,,AL00005_Baeza-RojanoAM01.pdf,AL00005_Baeza-RojanoAM01.csv,49,,lx of female Caprella grandimana per instar,cohort,"age, follow-up",lx_stand,age from stage,female,captive,"Tarifa Island, Gibraltar",2007,2008,"F1-generation in captivity;  17¡C, 12h light : 12h dark; salinity 35.5",,88,"Figure 2a,b, Figure 3",mean age / instar / survival rate,Caprella_grandimana,birth/hatch,,,
5149,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,grandimana,,,AL00005_Baeza-Rojano,,AL00005_Baeza-RojanoAM02.pdf,AL00005_Baeza-RojanoAM02.csv,53,,lx of male Caprella grandimana per instar,cohort,"age, follow-up",lx_stand,age from stage,male,captive,"Tarifa Island, Gibraltar",2007,2008,"F1-generation in captivity;  17¡C, 12h light : 12h dark; salinity 35.5",,88,"Figure 2a,b, Figure 3",mean age / instar / survival rate,Caprella_grandimana,birth/hatch,,,
5134,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,intermedia,,,AL00006_Fischer,,AL00006_FischerAM01.pdf,AL00006_FischerAM01.csv,164,,Life table of Loxosceles intermedia reared in the laboratory,cohort,"age, follow-up",lx_real,age from stage,na,captive,"Curitiba, Brazil",1994,2000,F1-generation in captivity; rearing under ambient conditions,,763,Table 4,instar / lx,Loxosceles_intermedia,release from cocoon,,,
5134,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,intermedia,,,AL00006_Fischer,,AL00006_FischerAM02.pdf,AL00006_FischerAM02.csv,88,,n of female Loxosceles intermedia per instar,cohort,"age, follow-up",lx_real,age from stage,female,captive,"Curitiba, Brazil",1994,2000,F1-generation in captivity; rearing under ambient conditions,,762,Table 1,instar / mean age / n,Loxosceles_intermedia,release from cocoon,,,
5134,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,intermedia,,,AL00006_Fischer,,AL00006_FischerAM03.pdf,AL00006_FischerAM03.csv,101,,n of female Loxosceles intermedia per instar,cohort,"age, follow-up",lx_real,age from stage,male,captive,"Curitiba, Brazil",1994,2000,F1-generation in captivity; rearing under ambient conditions,,762,Table 1,instar / mean age / n,Loxosceles_intermedia,release from cocoon,,,
5152,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Cheirimedon,femoratus,,,AL00011_Bregazzi,,AL00011_BregazziAM01.pdf,AL00011_BregazziAM01.csv,,,lx of Cheirimedon femoratus,period,age structure,lx_stand,age from stage_known-age individuals,both,wild,"Borge Bay, Signy Island, South Orkney Islands",1968,1969,,,13,Fig. 14,% survival / age group,Cheirimedon_femoratus,release from cocoon,,,
5154,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Hippomedon,kergueleni,,,AL00011_Bregazzi,,AL00011_BregazziAM02.pdf,AL00011_BregazziAM02.csv,,,lx of Tryphosella kergueleni,period,age structure,lx_stand,age from stage_known-age individuals,both,wild,"Borge Bay, Signy Island, South Orkney Islands",1969,1970,,,25,Fig. 27,% survival / age group,Tryphosella_kergueleni,release from cocoon,,,
5135,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,laeta,,,AL00012_Lowrie,,AL00012_LowrieAM01.pdf,AL00012_LowrieAM01.csv,20,,lx of female Loxosceles laeta,cohort,ages at death,lx_stand,age,female,captive,"San Gabriel Valley, California, USA",1970,1976,"F1-generation in captivity; individually, nearly ambient conditions",,307,Fig. 1,per cent remaining alive / age in days,Loxosceles_laeta,release from cocoon,,,
5135,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,laeta,,,AL00012_Lowrie,,AL00012_LowrieAM02.pdf,AL00012_LowrieAM02.csv,28,,lx of male Loxosceles laeta,cohort,ages at death,lx_stand,age,male,captive,"San Gabriel Valley, California, USA",1970,1976,"F1-generation in captivity; individually, nearly ambient conditions",,307,Fig. 1,per cent remaining alive / age in days,Loxosceles_laeta,release from cocoon,,,
5142,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,cornuta,,,AL00014_Nandini,,AL00014_Nandini_Ceriodaphnia_high_max_LT.pdf,AL00014_Nandini_Ceriodaphnia_high_max_LT.csv,40,,Age-specific survival of Ceriodaphnia cornuta in relation to food concentration of  4.5 _ 10^6 cells/ml (maximum SD),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,119,Fig. 1c,survivorship / age (days),Ceriodaphnia_cornuta,birth/hatch,,,
5142,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,cornuta,,,AL00014_Nandini,,AL00014_Nandini_Ceriodaphnia_high_mean_LT.pdf,AL00014_Nandini_Ceriodaphnia_high_mean_LT.csv,40,,Age-specific survival of Ceriodaphnia cornuta in relation to food concentration of  4.5 _ 10^6 cells/ml (mean),cohort,age-specific survival,lx_stand,age,female,captive,"Los Reyes, Mexico",,,parthenogenetic and cloned from one individual; 25¡C; ph 7.5; continous photoperiod,,119,Fig. 1c,survivorship / age (days),Ceriodaphnia_cornuta,birth/hatch,,,
