age_mortality_id,x,list_x_units,n,ax,cap_nx,cap_dx,mx,lx_real,lx_stand,dx_real,dx_stand,px,qx,mjux,cap_lx_real,cap_lx_stand,ex,smoothed
DL00328_Tucker_Crocodylus_johnsoni.csv,54.0000,,1874,0.0000,,,,2.0000,0.0012,2.0000,0.0012,0.0000,1.0000,,,0.0000,0.0000,
DL00044_Lowe_lx_stags_period.csv,16.0000,,715,0.0000,,,,6.0000,0.0080,6.0000,0.0080,0.0000,1.0000,,,0.0000,0.0000,
DL00044_Lowe_lx_hinds_period.csv,16.0000,,741,0.0000,,,,7.0000,0.0090,7.0000,0.0090,0.0000,1.0000,,,0.0000,0.0000,
DL00002_DeeveyLT01.csv,6.0000,,282,0.0000,,,,3.0000,0.0106,3.0000,0.0106,0.0000,1.0000,,,0.0000,0.0000,
DL00044_Lowe_lx_stags_cohort.csv,9.0000,,715,0.0000,,,,14.0000,0.0200,14.0000,0.0200,0.0000,1.0000,,,0.0000,0.0000,
DL00044_Lowe_lx_hinds_cohort.csv,9.0000,,741,0.0000,,,,19.0000,0.0250,19.0000,0.0250,0.0000,1.0000,,,0.0000,0.0000,
DL00050_SpinageLT03_Mweya_male_1964.csv,10.0000,,20,0.0000,,,,1.0000,0.0500,1.0000,0.0500,0.0000,1.0000,,,0.0000,0.0000,
DL00050_SpinageLT03_Mweya_male_1966.csv,11.0000,,15,0.0000,,,,1.0000,0.0556,1.0000,0.0556,0.0000,1.0000,,,0.0000,0.0000,
DL00050_SpinageLT03_Mweya_male_1965.csv,10.0000,,15,0.0000,,,,1.0000,0.0667,1.0000,0.0667,0.0000,1.0000,,,0.0000,0.0000,
DL00050_SpinageLT01_QE_male.csv,10.0000,,99,0.0000,,,,7.0000,0.0707,7.0000,0.0707,0.0000,1.0000,,,0.0000,0.0000,
DL00050_SpinageLT01_QE_female.csv,12.0000,,33,0.0000,,,,4.0000,0.1212,4.0000,0.1212,0.0000,1.0000,,,0.0000,0.0000,
DL00141_ShermanLT01.csv,20.5000,,7,3.0000,,,,1.0000,0.1429,1.0000,0.1429,0.0000,1.0000,,,0.4287,3.0000,
DL00044_Lowe_lx_stags_cohort.csv,8.0000,,715,0.5000,,,,107.0000,0.1500,93.0000,0.1300,0.1333,0.8667,2.0149,,0.0850,0.5667,
DL00141_ShermanLT01.csv,0.0000,,7,10.2500,,,,7.0000,1.0000,6.0000,0.8571,0.1429,0.8571,1.9456,,11.7147,12.1434,
DL00044_Lowe_lx_hinds_cohort.csv,8.0000,,741,0.5000,,,,98.0000,0.1320,79.0000,0.1070,0.1894,0.8106,1.6639,,0.0785,0.5947,
DL00050_SpinageLT01_QE_male.csv,9.0000,,99,0.5000,,,,35.0000,0.3535,28.0000,0.2828,0.2000,0.8000,1.6094,,0.2121,0.6000,
DL00328_Tucker_Crocodylus_johnsoni.csv,0.0000,,1874,0.5000,,,,1874.0000,1.0000,1455.0000,0.7765,0.2235,0.7765,1.4983,,0.6118,2.7578,
DL00002_DeeveyLT01.csv,4.0000,,282,0.5000,,,,20.0000,0.0709,15.0000,0.0532,0.2496,0.7504,1.3877,,0.0443,0.8244,
DL00044_Lowe_lx_hinds_period.csv,9.0000,,741,0.5000,,,,134.0000,0.1810,90.0000,0.1220,0.3260,0.6740,1.1210,,0.1200,1.7845,
DL00050_SpinageLT03_Mweya_male_1964.csv,9.0000,,20,0.5000,,,,3.0000,0.1500,2.0000,0.1000,0.3333,0.6667,1.0986,,0.1000,0.6667,
DL00050_SpinageLT03_Mweya_male_1966.csv,10.0000,,15,0.5000,,,,3.0000,0.1667,2.0000,0.1111,0.3335,0.6665,1.0980,,0.1112,0.6668,
DL00050_SpinageLT03_Mweya_male_1965.csv,9.0000,,15,0.5000,,,,3.0000,0.2000,2.0000,0.1333,0.3335,0.6665,1.0981,,0.1334,0.6668,
DL00002_DeeveyLT01.csv,3.0000,,282,0.5000,,,,56.0000,0.1986,36.0000,0.1277,0.3570,0.6430,1.0300,,0.1348,0.9728,
DL00044_Lowe_lx_stags_period.csv,15.0000,,715,0.5000,,,,16.0000,0.0220,10.0000,0.0140,0.3636,0.6364,1.0116,,0.0150,0.6818,
DL00044_Lowe_lx_stags_period.csv,9.0000,,715,0.5000,,,,178.0000,0.2490,112.0000,0.1570,0.3695,0.6305,0.9957,,0.1705,1.8896,
DL00050_SpinageLT01_QE_female.csv,8.0000,,33,0.5000,,,,17.0000,0.5152,10.0000,0.3031,0.4117,0.5883,0.8875,,0.3637,1.4998,
DL00050_SpinageLT03_Mweya_male_1965.csv,7.0000,,15,0.5000,,,,7.0000,0.4667,4.0000,0.2667,0.4285,0.5715,0.8474,,0.3334,1.4285,
DL00050_SpinageLT03_Mweya_male_1966.csv,8.0000,,15,0.5000,,,,7.0000,0.3889,4.0000,0.2222,0.4286,0.5714,0.8471,,0.2778,1.4288,
DL00002_DeeveyLT01.csv,2.0000,,282,0.5000,,,,130.0000,0.4610,74.0000,0.2624,0.4308,0.5692,0.8421,,0.3298,1.1345,
DL00002_DeeveyLT01.csv,1.0000,,282,0.5000,,,,282.0000,1.0000,152.0000,0.5390,0.4610,0.5390,0.7744,,0.7305,1.2535,
DL00044_Lowe_lx_stags_cohort.csv,6.0000,,715,0.5000,,,,305.0000,0.4260,156.0000,0.2180,0.4883,0.5117,0.7169,,0.3170,1.3638,
DL00044_Lowe_lx_stags_period.csv,8.0000,,715,0.5000,,,,359.0000,0.5020,181.0000,0.2530,0.4960,0.5040,0.7011,,0.3755,1.6853,
DL00050_SpinageLT03_Mweya_male_1964.csv,8.0000,,20,0.5000,,,,6.0000,0.3000,3.0000,0.1500,0.5000,0.5000,0.6931,,0.2250,1.0833,
DL00044_Lowe_lx_hinds_period.csv,8.0000,,741,0.5000,,,,265.0000,0.3570,131.0000,0.1760,0.5070,0.4930,0.6792,,0.2690,1.6583,
DL00328_Tucker_Crocodylus_johnsoni.csv,44.0000,,1874,0.5000,,,,4.0000,0.0023,2.0000,0.0011,0.5217,0.4783,0.6506,,0.0018,5.4565,
DL00044_Lowe_lx_hinds_period.csv,15.0000,,741,0.5000,,,,13.0000,0.0170,6.0000,0.0080,0.5294,0.4706,0.6360,,0.0130,0.7647,
DL00044_Lowe_lx_stags_cohort.csv,5.0000,,715,0.5000,,,,534.0000,0.7470,229.0000,0.3210,0.5703,0.4297,0.5616,,0.5865,1.5629,
DL00050_SpinageLT01_QE_female.csv,9.0000,,33,0.5000,,,,7.0000,0.2121,3.0000,0.0909,0.5714,0.4286,0.5596,,0.1667,1.9286,
DL00002_DeeveyLT01.csv,5.0000,,282,0.5000,,,,5.0000,0.0177,2.0000,0.0071,0.5989,0.4011,0.5127,,0.0142,0.7994,
DL00050_SpinageLT03_Mweya_male_1964.csv,6.0000,,20,0.5000,,,,10.0000,0.5000,4.0000,0.2000,0.6000,0.4000,0.5108,,0.4000,2.0500,
DL00050_SpinageLT01_QE_male.csv,8.0000,,99,0.5000,,,,58.0000,0.5859,23.0000,0.2324,0.6033,0.3967,0.5053,,0.4697,1.1637,
DL00044_Lowe_lx_hinds_cohort.csv,5.0000,,741,0.5000,,,,374.0000,0.5050,148.0000,0.2000,0.6040,0.3960,0.5042,,0.4050,1.7584,
DL00044_Lowe_lx_hinds_cohort.csv,6.0000,,741,0.5000,,,,226.0000,0.3050,88.0000,0.1190,0.6098,0.3902,0.4946,,0.2455,1.5836,
DL00044_Lowe_lx_stags_period.csv,14.0000,,715,0.5000,,,,26.0000,0.0360,10.0000,0.0140,0.6111,0.3889,0.4925,,0.0290,1.2222,
DL00328_Tucker_Crocodylus_johnsoni.csv,24.0000,,1874,0.5000,,,,56.0000,0.0299,22.0000,0.0115,0.6154,0.3846,0.4855,,0.0242,6.6271,
DL00328_Tucker_Crocodylus_johnsoni.csv,39.0000,,1874,0.5000,,,,7.0000,0.0035,3.0000,0.0012,0.6571,0.3429,0.4199,,0.0029,7.0429,
DL00328_Tucker_Crocodylus_johnsoni.csv,1.0000,,1874,0.5000,,,,419.0000,0.2235,143.0000,0.0760,0.6600,0.3400,0.4156,,0.1855,9.6020,
DL00044_Lowe_lx_hinds_cohort.csv,4.0000,,741,0.5000,,,,559.0000,0.7540,185.0000,0.2490,0.6698,0.3302,0.4008,,0.6295,2.0126,
DL00044_Lowe_lx_hinds_period.csv,14.0000,,741,0.5000,,,,19.0000,0.0250,6.0000,0.0080,0.6800,0.3200,0.3857,,0.0210,1.3600,
DL00328_Tucker_Crocodylus_johnsoni.csv,30.0000,,1874,0.5000,,,,28.0000,0.0150,9.0000,0.0046,0.6933,0.3067,0.3662,,0.0127,6.0333,
DL00044_Lowe_lx_hinds_cohort.csv,7.0000,,741,0.5000,,,,138.0000,0.1860,40.0000,0.0540,0.7097,0.2903,0.3429,,0.1590,1.2769,
DL00328_Tucker_Crocodylus_johnsoni.csv,34.0000,,1874,0.5000,,,,15.0000,0.0081,4.0000,0.0023,0.7160,0.2840,0.3340,,0.0070,6.0432,
DL00044_Lowe_lx_stags_period.csv,1.0000,,715,0.5000,,,,715.0000,1.0000,202.0000,0.2820,0.7180,0.2820,0.3313,,0.8590,5.8010,
DL00044_Lowe_lx_stags_period.csv,13.0000,,715,0.5000,,,,36.0000,0.0500,10.0000,0.0140,0.7200,0.2800,0.3285,,0.0430,1.7400,
DL00044_Lowe_lx_stags_cohort.csv,7.0000,,715,0.5000,,,,149.0000,0.2080,42.0000,0.0580,0.7212,0.2788,0.3269,,0.1790,1.2692,
DL00050_SpinageLT03_Mweya_male_1964.csv,2.0000,,20,0.5000,,,,18.0000,0.9000,5.0000,0.2500,0.7222,0.2778,0.3254,,0.7750,3.9167,
DL00044_Lowe_lx_stags_period.csv,7.0000,,715,0.5000,,,,489.0000,0.6840,130.0000,0.1820,0.7339,0.2661,0.3094,,0.5930,2.1038,
DL00044_Lowe_lx_hinds_period.csv,13.0000,,741,0.5000,,,,25.0000,0.0340,6.0000,0.0090,0.7353,0.2647,0.3075,,0.0295,1.8676,
DL00050_SpinageLT01_QE_female.csv,4.0000,,33,0.5000,,,,29.0000,0.8788,7.0000,0.2121,0.7586,0.2414,0.2762,,0.7728,3.7070,
DL00328_Tucker_Crocodylus_johnsoni.csv,37.0000,,1874,0.5000,,,,9.0000,0.0046,2.0000,0.0011,0.7609,0.2391,0.2733,,0.0041,7.0000,
DL00044_Lowe_lx_stags_period.csv,12.0000,,715,0.5000,,,,46.0000,0.0640,10.0000,0.0140,0.7813,0.2188,0.2469,,0.0570,2.2500,
DL00328_Tucker_Crocodylus_johnsoni.csv,35.0000,,1874,0.5000,,,,11.0000,0.0058,2.0000,0.0012,0.7931,0.2069,0.2318,,0.0052,7.2414,
DL00044_Lowe_lx_hinds_cohort.csv,3.0000,,741,0.5000,,,,696.0000,0.9390,137.0000,0.1850,0.8030,0.1970,0.2194,,0.8465,2.5176,
DL00044_Lowe_lx_hinds_period.csv,7.0000,,741,0.5000,,,,328.0000,0.4420,63.0000,0.0850,0.8077,0.1923,0.2136,,0.3995,2.2432,
DL00044_Lowe_lx_hinds_period.csv,12.0000,,741,0.5000,,,,31.0000,0.0420,6.0000,0.0080,0.8095,0.1905,0.2113,,0.0380,2.4167,
DL00050_SpinageLT03_Mweya_male_1966.csv,4.0000,,15,0.5000,,,,11.0000,0.6111,2.0000,0.1111,0.8182,0.1818,0.2007,,0.5556,4.0001,
DL00050_SpinageLT03_Mweya_male_1965.csv,3.0000,,15,0.5000,,,,11.0000,0.7333,2.0000,0.1333,0.8182,0.1818,0.2006,,0.6667,4.0001,
DL00044_Lowe_lx_stags_period.csv,11.0000,,715,0.5000,,,,56.0000,0.0780,10.0000,0.0140,0.8205,0.1795,0.1978,,0.0710,2.7564,
