isbn,list_referencetype,referenceid,pdf_name,author,title,journal,volume,issue,pages,year,url,booktitle,chapter,editor,publisher,placepublished,author_year
0024-4066,Journal Article,AReptile-Atkins-2007,,"Atkins, N.; Swain, R.; Wapstra, E.; Jones, S. M.",Late stage deferral of parturition in the viviparous lizard Niveoscincus ocellatus (Gray 1845): implications for offspring quality and survival,Biological Journal of the Linnean Society,90,4,735--746,2007,http://dx.doi.org/10.1111/j.1095-8312.2007.00770.x,,,,,,Atkins_2007
0273-8570,Journal Article,ABird-Butler-1988,,"Butler, R. W.","Population-Dynamics and migration routes of tree swallows, Tachycineta-bicolor, in North America",Journal of Field Ornithology,59,4,395--402,1988,http://dx.doi.org/10.24124/2017/1338,,,,,,Butler_1988
,Journal Article,AL00001_Takeuchi,,"Takeuchi, I.; Hirano, R.",Growth and reproduction of the epifaunal amphipod Caprella okadai Arimoto (Crustacea: Amphipoda: Caprellidea),Journal of Experimental Marine Biology and Ecology,161,,201--212,1992,http://dx.doi.org/10.1016/0022-0981(92)90097-t,,,,,,Takeuchi_1992
,Journal Article,AL00002_Ali,,"Ali, M. H.; Salman, S. D.",Growth and production of the amphipod Parhyale basrensis (Talitridae) in the Shatt al-Arab region,Marine Ecology,40,3,231--238,1987,http://dx.doi.org/10.3354/meps040231,,,,,,Ali_1987
,Journal Article,AL00004_Takeuchi,,"Takeuchi, I.; Hirano, R.",Growth and reproduction of Caprella danilevskii (Crustacea: Amphipoda) reared in the laboratory,Marine Biology,110,,391--397,1991,http://dx.doi.org/10.1007/bf01344358,,,,,,Takeuchi_1991
1079-5006,Journal Article,DL00351_Yashin,,"Yashin, A. I.; Cypser, J. W.; Johnson, T. E.; Michalski, A. I.; Boyko, S. I.; Novoseltsev. V. N.",Heat shock changes the heterogeneity distribution in populations of Caenorhabditis elegans: Does it tell us anything about the biological mechanism of stress response?,Journal of Gerontology Series A: Biological Sciences and Medical Sciences,57A,3,B83-B92,2002,http://dx.doi.org/10.1093/gerona/57.3.b83,,,,,,Yashin_2002
,Journal Article,AL00005_Baeza-Rojano,,"Baeza-Rojano, E.; Guerra-Garcia, J. M. ; Cabezas, M.P.; Pacios, I.",Life history of Caprella grandimana (Crustacea: Amphipoda) reared under laboratory conditions,Marine Biology Research,7,1,85--92,2011,http://dx.doi.org/10.1080/17451001003713571,,,,,,Baeza-Rojano_2011
,Journal Article,AL00006_Fischer,,"Fischer, M.L.; Vasconcellos-Neto, J.","Development and life tables of Loxosceles intermedia Mello-Leitao 1934 (Araneae, Sicariidae)",Journal of Arachnology,33,,758--766,2005,http://dx.doi.org/10.1636/s03-39.1,,,,,,Fischer_2005
,Journal Article,AL00011_Bregazzi,,"Bregazzi, P. K.",Life cycles and seasonal movements of Cheirimedon femoratus (Pfeffer) and Tryphosella kergueleni (Miers) (Crustacea: Amphipoda),British Antarctic Survey Bulletin,30,,1--34,1972,http://dx.doi.org/10.11646/zootaxa.4014.1.1,,,,,,Bregazzi_1972
,Journal Article,AL00012_Lowrie,,"Lowrie, D.C.","Effects of diet on the development of Loxosceles laeta (Nicolet)(Araneae, Loxoscelidae)",Journal of Arachnology,15,3,303--308,1987,http://dx.doi.org/10.1590/s0101-81752007000400002,,,,,,Lowrie_1987
1573-5117,Journal Article,AL00014_Nandini,,"Nandini, S.; Sarma, S. S. S.",Lifetable demography of four cladoceran species in relation to algal food (Chlorella vulgaris) density,Hydrobiologia,435,1--3,117--126,2000,http://dx.doi.org/10.1007/1-4020-4408-9_36,,,,,,Nandini_2000
1573-5125,Journal Article,AL00015_Nandini,,"Nandini, S.",Responses of rotifers and cladocerans to Microcystis aeruginosa (Cyanophyceae): a demographic study,Aquatic Ecology,34,3,227--242,2000,http://dx.doi.org/10.2216/06-14.1,,,,,,Nandini_2000
0-674-05856-9,Book,Altmann_1980,,"Altmann, J.",Baboon mothers and infants,,,,1--242,1980,http://dx.doi.org/10.2307/2801823,,,,University of Chicago Press,Chicago,Altmann_1980
0018-0831,Journal Article,AReptile-Iverson-1991,,"Iverson, J. B.","Life history and demography of the Yellow Mud Turtle, Kinosternon flavescens",Herpetologica,47,4,373--395,1991,http://dx.doi.org/10.2307/1443406,,,,,,Iverson_1991
,Journal Article,Auld et al 2014 JEB,,"Auld; J. R.; Jarne, P.; Sarda, V.; Jourdan-Pineau, H.; Lamy, T., Pelissie B.; David, P.",Evaluating the contributions of change in investment and change in efficiency to age-related declines in male and female reproduction,J Evol Biol.,27,9,1--12,2014,http://dx.doi.org/10.1111/jeb.12435,,,,,,Auld; J. R.; Jarne_2014
0824-0469,Journal Article,Barlow_1991,,"Barlow, J.; Boveng, P.",Modeling age-specific mortality for marine mammal populations,Marine Mammal Science,7,1,50--65,1991,http://dx.doi.org/10.1111/j.1748-7692.1991.tb00550.x,,,,,,Barlow_1991
,Journal Article,Beland_1988,,"Beland, P.; Vezina, A.; Martineau, D.","Potential for growth of the St. Lawrence (Quebec, Canada) beluga whale {Delphinapterus leucas) population based on modelling",J. Cons. Int. Explor. Mer.,45,,22--32,1988,http://dx.doi.org/10.1093/icesjms/45.1.22,,,,,,Beland_1988
0141-6707,Journal Article,Berger_1972,,"Berger, M. E.",Population structure of Olive Baboons (Papio anubis (J. P. Fischer)) in the Laikipia District of Kenya,African Journal of Ecology,10,3,159--164,1972,http://dx.doi.org/10.1111/j.1365-2028.1972.tb00724.x,,,,,,Berger_1972
0014-3820,Journal Article,Berven_1982,,"Berven, K. A.",The genetic basis of altitudinal variation in the wood frog Rana sylvatica. I. An experimental analysis of life history traits,Evolution,36,5,962--983,1982,http://dx.doi.org/10.2307/2408075,,,,,,Berven_1982
0090-0656,Journal Article,AReptile-Bjorndal-2003B,,"Bjorndal, K. A.; Bolten, A. B.; Martins, H. R.",Estimates of survival probabilities for oceanic-stage loggerhead sea turtles (Caretta caretta) in the North Atlantic,Fishery Bulletin,101,4,732--736,2003,http://dx.doi.org/10.3354/esr00227,,,,,,Bjorndal_2003
1528-7092,Journal Article,AReptile-Budischak-2006,,"Budischak, S. A.; Hester, J. M.; Price, S. J.; Dorcas, M. E.",Natural history of Terrapene carolina (Box Turtles) in an urbanized landscape,Southeastern Naturalist,5,2,191--204,2006,http://dx.doi.org/10.1656/1528-7092(2006)5[191:nhotcb]2.0.co;2,,,,,,Budischak_2006
0045-8511,Journal Article,AReptile-Chen-1998,,"Chen, T. H.; Lue, K. Y.","Ecology of the Chinese Stripe-necked Turtle, Ocadia sinensis (Testudines : Emydidae), in the Keelung River, northern Taiwan",Copeia,1998,4,944--952,1998,http://dx.doi.org/10.2307/1447341,,,,,,Chen_1998
,Book Section,Collins_1994,,"Collins, C. T.; Corey, K. A.",Delayed breeding in the Santa Cruz Island Scrub Jay: why not be cooperative?,,,,371--378,1994,http://dx.doi.org/10.2307/1368703,The Fourth California Channel Islands symposium: update on the status of resources,,"Halvorson, W. L. and G. J. Meander",Santa Barbara Mus. Nat. Hist.�,"Santa Barbara, CA",Collins_1994
,Journal Article,DL00002_Deevey,,"Deevey Jr., E. S.",Life tables for natural populations of animals,The Quarterly Review of Biology,22,4,283--314,1947,http://dx.doi.org/10.1007/978-3-642-81046-6_9,,,,,,Deevey_1947
,Journal Article,DL00006_Caughley,,"Caughley, G.",Mortality patterns in mammals,Ecology,47,6,906--918,1966,http://dx.doi.org/10.2307/1935638,,,,,,Caughley_1966
,Book Section,DL00007_ClintonandLeboeuf,,"Clinton, W. L.; le Boeuf, B. J.",Sexual selection's effects on male life history and the pattern of male mortality,Ecology,74,6,1884--1892,1993,http://dx.doi.org/10.2307/1939945,,,,,,Clinton_2010
0022-541X,Journal Article,DL00009_Boer,,"Boer, A. H.",Mortality rates of moose in New Brunswick: a life table analysis,Journal of Wildlife Management,52,1,21--25,1988,http://dx.doi.org/10.2307/3801051,,,,,,Boer_1988
875699,Journal Article,DL00011_Hoefs,,"Hoefs, M.; Bayer, M.","Demographic Ccharacteristics of an unhunted Dall Sheep (Ovis dalli dalli) population in southwest Yukon, Canada",Canadian Journal of Zoology-Revue Canadienne De Zoologie,61,6,1346--1357,1983,http://dx.doi.org/10.1139/z83-181,,,,,,Hoefs_1983
2832426,Journal Article,DL00013_Spinage,,"Spinage, C. A.",African ungulate life tables,Ecology,53,4,645--652,1972,http://dx.doi.org/10.2307/1934778,,,,,,Spinage_1972
0275-2565,Journal Article,DL00014_Dyke_et_al,,"Dyke, B.; Gage, T. B.; Alford, P. L.; Swenson, B.; Williamsblangero, S.",Model life table for captive Chimpanzees,American Journal of Primatology,37,1,25--37,1995,http://dx.doi.org/10.1002/ajp.1350370104,,,,,,Dyke_1995
0165-7836,Journal Article,DL00015_Lander,,"Lander, R. H.",A life table and biomass estimate for Alaskan Fur Seals,Fisheries Research,1,,55--70,1981,http://dx.doi.org/10.1016/0165-7836(81)90007-2,,,,,,Lander_1981
0952-8369,Journal Article,DL00016_Schwartz,,"Schwartz, O. A.; Armitage, K. B.; van Vuren, D.",A 32-year demography of Yellow-bellied Marmots (Marmota flaviventris),Journal of Zoology,246,3,337--346,1998,http://dx.doi.org/10.1017/s0952836998009911,,,,,,Schwartz_1998
0045-8511,Journal Article,DL00018_Bruce,,"Bruce, R. C.",An ecological life table for the salamander Eurycea wilderae,Copeia,,1,15--26,1988,http://dx.doi.org/10.2307/1445917,,,,,,Bruce_1988
0021-5295,Journal Article,DL00019_Hayashidanietal,,"Hayashidani, H.; Omi, Y.; Ogawa, M.; Fukutomi, K.",Epidemiological studies on the expectation of life for cats computed from animal cemetery records,Japanese Journal of Veterinary Science,51,5,905--908,1989,http://dx.doi.org/10.1292/jvms1939.51.905,,,,,,Hayashidani_1989
,Journal Article,DL00022_Hewer,,"Hewer, H. R.","The determination of age, sexual maturity, longevity and a life table on the grey seal (Halochoerus grypus)",Proceedings of the Royal Society London,142,,593--623,1964,http://dx.doi.org/10.1111/j.1469-7998.1964.tb04631.x,,,,,,Hewer_1964
,Journal Article,DL00026_Wei,,"Wei, F.; Hu, J.Xu, G. ; Jiang, M. Deng, Q.Zhong, Z.",A study on the life table of wild Giant Pandas,Acta Theriologica Sinica,9,2,81--86,1989,http://dx.doi.org/10.1163/15707563-00002432,,,,,,Wei_1989
,Journal Article,DL00027_Jiang,,"Jiang, H.; Liu, Z.; Yuan, X.; Wang, H.",Population structure of Rhesus monkeys at Nanwan Peninsula of Hainan Island,ActaTheriologica Sinica,9,4,254--261,1989,http://dx.doi.org/10.1002/ajp.1350250402,,,,,,Jiang_1989
,Journal Article,DL00028_Qisen,,"Yang, Q.; Hu, J.; Peng, J.",A study on the population ecology of Forest Musk Deer (Moschus berezovskii) at the north of Hengduan Mountains,Acta Theriologica Sinica,10,4,255--262,1990,http://dx.doi.org/10.1111/j.1365-2052.2008.01805.x,,,,,,Yang_1990a
,Journal Article,DL00030_Rodgers,,"Rodgers, W. A.",Warthog ecology in south east Tanzania,Mammalia,48,3,327--350,1984,http://dx.doi.org/10.1515/mamm.1984.48.3.327,,,,,,Rodgers_1984
,Journal Article,DL00031_Liang,,"Liang, J.; Sun, R.",Studies on the life table and reproduction of the Root Vole Microtus oeconomus,Acta Zoologica Sinica,31,2,170--177,1985,http://dx.doi.org/10.1111/j.1601-5223.1970.tb02340.x,,,,,,Liang_1985
,Journal Article,DL00035_Dann,,"Dann, P.; Cullen, J. M.","Survival, patterns of reproduction, and lifetime reproductive output in Little Blue Penguins (Eudyptula minor) on Phillip Island, Victoria, Australia",,,,63--84,1990,http://dx.doi.org/10.1016/b978-0-08-057106-5.50010-3,Penguin Biology,I-3,"Lloyd, S. D. Darby, J. T.",Elsevier,,Dann_1990
0021-8790,Journal Article,DL00036_Bradley,,"Bradley, J. S.; Wooller, R. D.; Skira, I. J.; Serventy, D. L.",Inferring population trends for the world's largest fish from mark-recapture estimates of survival,Journal of Animal Ecology,58,1,175--188,1989,http://dx.doi.org/10.2307/4993,,,,,,Bradley_1989
,Book,DL00037_Sinclair,,"Sinclair, A. R. E.",The African Buffalo: a study of resource limitation of populations,,,,302--348,1977,http://dx.doi.org/10.2307/1307401,,,,University of Chicago Press,,Sinclair_1977
,Journal Article,DL00038_Fairall,,"Fairall, N.",The use of the eye lens technique in deriving the age structure and life table of an Impala (Aepyceros melampus) population,Koedoe - African Protected Area Conservation and Science,12,1,90--96,1969,http://dx.doi.org/10.4102/koedoe.v12i1.748,,,,,,Fairall_1969
,Journal Article,DL00039_MacPherson,,"Macpherson, A. H.",The dynamics of Canadian Arctic Fox population,Canadian Wildlife Service Report,8,,23--42,1969,http://dx.doi.org/10.14430/arctic1418,,,,,,Macpherson_1969
,Journal Article,DL00040_Bobek,,"Bobek, B.",Net production of small rodents in a deciduous forest,Acta Theriologica,18,21,403--434,1973,http://dx.doi.org/10.4098/at.arch.73-25,,,,,,Bobek_1973
,Journal Article,DL00043_Payne,,"Payne, N. F.",Mortality rates of beaver in Newfoundland,The Journal of Wildlife Management,48,1,117--126,1984,http://dx.doi.org/10.2307/3808459,,,,,,Payne_1984
,Journal Article,DL00044_Lowe,,"Lowe, V. P. W.",Population dynamics of the Red Deer (Cervus elaphus L.) on Rhum,Journal of Animal Ecology,38,,425--457,1969,http://dx.doi.org/10.2307/2782,,,,,,Lowe_1969
,Journal Article,DL00048_Mansfield,,"Mansfield, A. W.; Beck, B.",The Grey Seal in eastern Canada,Fisheries Marine Series Report,,704,1--79,1977,http://dx.doi.org/10.1111/j.1748-7692.1991.tb00549.x,,,,,,Mansfield_1977
,Journal Article,DL00049_Laws,,"Laws, R. M.",Dentition and ageing of the Hippopotamus,African Journal of Ecology,6,1,19--52,1968,http://dx.doi.org/10.1111/j.1365-2028.1968.tb00899.x,,,,,,Laws_1968
,Journal Article,DL00050_Spinage,,"Spinage, C. A.","Population dynamics of the Uganda Defassa Waterbuck (Kobus defassa ugandae Neumann) in the Queen Elizabeth Park, Uganda",Journal of Animal Ecology,39,1,51--78,1970,http://dx.doi.org/10.2307/2889,,,,,,Spinage_1970
,Journal Article,DL00052_Laws,,"Laws, R. M.","Age criteria for the African Elephant, Loxodonta africana",African Journal of Ecology,4,1,1--37,1966,http://dx.doi.org/10.1111/j.1365-2028.1966.tb00878.x,,,,,,Laws_1966
,Journal Article,DL00054_Crowe,,"Crowe, D. M.","Aspects of aging, growth, and reproduction of Bobcats from Wyoming",Journal of Mammology,56,,177--198,1975,http://dx.doi.org/10.2307/1379615,,,,,,Crowe_1975
,Journal Article,DL00055_Sade,,"Sade, D. S.; Cushing, K.; Cushing, P.; Dunaif, J.; Figueroa, A.; Kaplan, J. R.; Laurer, C.; Rhodes, D.; Schneider, J.",Population dynamics in relation to social structure on Cayo Santiago,Yearbook of Physical Anthropology,20,,253--262,1976,http://dx.doi.org/10.1137/1.9781611970005,,,,,,Sade_1976
,Book,DL00056_Dittus,,"Dittus, W. P. J.","Population dynamics of the Toque Monkey, Macaca sinica",,,,125--151,1975,http://dx.doi.org/10.1515/9783110803839.125,,,,"R. H. Mouton, The Hague",,Dittus_1975
,Journal Article,DL00058_Monakhov,,"Monakhov, V. G.",Age structure of the Sable (Martes zibellina) populations,Zoologicheskij zhurnal,62,9,1398--1406,1983,http://dx.doi.org/10.1134/s1062359011080061,,,,,,Monakhov_1983
,Journal Article,DL00059_Willner,,"Willner, G. R.; Dixon, K. R.; Chapman, J. A.","Age determination and mortality of the Nutria (Myocastor coypus) in Maryland, USA",Zeitschrift f_r S_ugetierkunde,48,1,19--34,1983,http://dx.doi.org/10.1515/mamm.1980.44.3.371,,,,,,Willner_1983
,Journal Article,DL00063_Simmons,,"Simmons, N. M.; Bayer, M. B.; Sinkey, L. O.","Demography of Dall's Sheep in the Mackenzie Mountains, Northwest Territories",The Journal of Wildlife Management,48,1,156--162,1984,http://dx.doi.org/10.2307/3808463,,,,,,Simmons_1984
,Journal Article,DL00064_Snyder,,"Snyder, D. P.","Survival rates, longevity, and population fluctuations in the White-footed Mouse, Peromyscus leucopus, in southeastern Michigan",,95,,1--33,1956,http://dx.doi.org/10.2307/1382107,,,,,,Snyder_1956
,Journal Article,DL00067_deBie,,"de Bie, S.","Survivorship in the Svalbard Reindeer (Rangifer tarandus platyrhynchus Vrolik) on Edgeoya, Svalbard",Norsk Polarinstitut Arbok,,,249--270,1976,http://dx.doi.org/10.7557/2.10.3.855,,,,,,de Bie_1976
,Journal Article,DL00073_Sherman,,"Sherman, P. W.; Morton, M. L.",Demography of Belding_s Ground Squirrels,Ecology,65,5,1617--1628,1984,http://dx.doi.org/10.2307/1939140,,,,,,Sherman_1984
